Date,Open,High,Low,Close*,Adj Close**,Volume
Feb 27 2003,1204.11,1204.11,1204.11,1204.11,1204.11,-
Feb 26 2003,1189.98,1189.98,1189.98,1189.98,1189.98,-
Feb 25 2003,1205.32,1205.32,1205.32,1205.32,1205.32,-
Feb 24 2003,1196.71,1196.71,1196.71,1196.71,1196.71,-
Feb 21 2003,1219.10,1219.10,1219.10,1219.10,1219.10,-
Feb 20 2003,1203.18,1203.18,1203.18,1203.18,1203.18,-
Feb 19 2003,1214.66,1214.66,1214.66,1214.66,1214.66,-
Feb 18 2003,1223.11,1223.11,1223.11,1223.11,1223.11,-
Feb 14 2003,1199.61,1199.61,1199.61,1199.61,1199.61,-
Feb 13 2003,1174.43,1174.43,1174.43,1174.43,1174.43,-
Feb 12 2003,1176.15,1176.15,1176.15,1176.15,1176.15,-
Feb 11 2003,1190.83,1190.83,1190.83,1190.83,1190.83,-
Feb 10 2003,1200.51,1200.51,1200.51,1200.51,1200.51,-
Feb 07 2003,1191.46,1191.46,1191.46,1191.46,1191.46,-
Feb 06 2003,1203.58,1203.58,1203.58,1203.58,1203.58,-
Feb 05 2003,1211.04,1211.04,1211.04,1211.04,1211.04,-
Feb 04 2003,1217.40,1217.40,1217.40,1217.40,1217.40,-
Feb 03 2003,1234.79,1234.79,1234.79,1234.79,1234.79,-
Jan 31 2003,1228.14,1228.14,1228.14,1228.14,1228.14,-
Jan 30 2003,1212.23,1212.23,1212.23,1212.23,1212.23,-
Jan 29 2003,1240.31,1240.31,1240.31,1240.31,1240.31,-
Jan 28 2003,1231.74,1231.74,1231.74,1231.74,1231.74,-
Jan 27 2003,1215.86,1215.86,1215.86,1215.86,1215.86,-
Jan 24 2003,1235.84,1235.84,1235.84,1235.84,1235.84,-
Jan 23 2003,1273.04,1273.04,1273.04,1273.04,1273.04,-
Jan 22 2003,1260.16,1260.16,1260.16,1260.16,1260.16,-
Jan 21 2003,1273.31,1273.31,1273.31,1273.31,1273.31,-
Jan 17 2003,1293.63,1293.63,1293.63,1293.63,1293.63,-
Jan 16 2003,1312.01,1312.01,1312.01,1312.01,1312.01,-
Jan 15 2003,1317.18,1317.18,1317.18,1317.18,1317.18,-
Jan 14 2003,1336.25,1336.25,1336.25,1336.25,1336.25,-
Jan 13 2003,1328.50,1328.50,1328.50,1328.50,1328.50,-
Jan 10 2003,1330.29,1330.29,1330.29,1330.29,1330.29,-
Jan 09 2003,1330.31,1330.31,1330.31,1330.31,1330.31,-
Jan 08 2003,1304.95,1304.95,1304.95,1304.95,1304.95,-
Jan 07 2003,1323.17,1323.17,1323.17,1323.17,1323.17,-
Jan 06 2003,1331.82,1331.82,1331.82,1331.82,1331.82,-
Jan 03 2003,1302.55,1302.55,1302.55,1302.55,1302.55,-
Jan 02 2003,1303.17,1303.17,1303.17,1303.17,1303.17,-
Dec 31 2002,1261.18,1261.18,1261.18,1261.18,1261.18,-
Dec 30 2002,1260.42,1260.42,1260.42,1260.42,1260.42,-
Dec 27 2002,1254.66,1254.66,1254.66,1254.66,1254.66,-
Dec 26 2002,1274.56,1274.56,1274.56,1274.56,1274.56,-
